#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.001, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 4/2/2023 10:38:59, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 2.51
t (ns), A (mV)
+77100E0, +3975E-07
+77200E0, +3986E-07
+77300E0, +4017E-07
+77400E0, +4111E-07
+77500E0, +4005E-07
+77600E0, +4014E-07
+77700E0, +4028E-07
+77800E0, +4069E-07
+77900E0, +4105E-07
+78000E0, +4061E-07
+78100E0, +3913E-07
+78200E0, +3994E-07
+78300E0, +4017E-07
+78400E0, +4078E-07
+78500E0, +4053E-07
+78600E0, +4056E-07
+78700E0, +3934E-07
+78800E0, +4038E-07
+78900E0, +4008E-07
+79000E0, +4100E-07
+79100E0, +4017E-07
+79200E0, +3928E-07
+79300E0, +4050E-07
+79400E0, +4197E-07
+79500E0, +4133E-07
+79600E0, +3911E-07
+79700E0, +4038E-07
+79800E0, +4097E-07
+79900E0, +4011E-07
+80000E0, +4008E-07
+80100E0, +4114E-07
+80200E0, +4053E-07
+80300E0, +4069E-07
+80400E0, +4020E-07
+80500E0, +4036E-07
+80600E0, +4030E-07
+80700E0, +3950E-07
+80800E0, +3855E-07
+80900E0, +3956E-07
+81000E0, +3831E-07
+81100E0, +3830E-07
+81200E0, +3820E-07
+81300E0, +3727E-07
+81400E0, +3620E-07
+81500E0, +3623E-07
+81600E0, +3547E-07
+81700E0, +3327E-07
+81800E0, +3173E-07
+81900E0, +3100E-07
+82000E0, +3070E-07
+82100E0, +3039E-07
+82200E0, +2753E-07
+82300E0, +2703E-07
+82400E0, +2778E-07
+82500E0, +2655E-07
+82600E0, +2730E-07
+82700E0, +2809E-07
+82800E0, +2878E-07
+82900E0, +2642E-07
+83000E0, +2814E-07
+83100E0, +2808E-07
+83200E0, +2866E-07
+83300E0, +2819E-07
+83400E0, +2789E-07
+83500E0, +2688E-07
+83600E0, +2773E-07
+83700E0, +2728E-07
+83800E0, +2478E-07
+83900E0, +2584E-07
+84000E0, +2520E-07
+84100E0, +2302E-07
+84200E0, +2255E-07
+84300E0, +2233E-07
+84400E0, +2225E-07
+84500E0, +2136E-07
+84600E0, +2119E-07
+84700E0, +2105E-07
+84800E0, +2034E-07
+84900E0, +2156E-07
+85000E0, +2020E-07
+85100E0, +2125E-07
+85200E0, +1934E-07
