#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.002, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 4/3/2023 9:44:41, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 3.2E-7, 1.675
t (ns), A (mV)
+45800E0, +4547E-07
+45900E0, +4641E-07
+46000E0, +4628E-07
+46100E0, +4531E-07
+46200E0, +4619E-07
+46300E0, +4700E-07
+46400E0, +4572E-07
+46500E0, +4491E-07
+46600E0, +4663E-07
+46700E0, +4750E-07
+46800E0, +4519E-07
+46900E0, +4525E-07
+47000E0, +4606E-07
+47100E0, +4538E-07
+47200E0, +4619E-07
+47300E0, +4428E-07
+47400E0, +4644E-07
+47500E0, +4600E-07
+47600E0, +4588E-07
+47700E0, +4591E-07
+47800E0, +4731E-07
+47900E0, +4450E-07
+48000E0, +4575E-07
+48100E0, +4719E-07
+48200E0, +4569E-07
+48300E0, +4509E-07
+48400E0, +4663E-07
+48500E0, +4506E-07
+48600E0, +4575E-07
+48700E0, +4581E-07
+48800E0, +4534E-07
+48900E0, +4634E-07
+49000E0, +4675E-07
+49100E0, +4566E-07
+49200E0, +4547E-07
+49300E0, +4691E-07
+49400E0, +4494E-07
+49500E0, +4472E-07
+49600E0, +4594E-07
+49700E0, +4597E-07
+49800E0, +4663E-07
+49900E0, +4625E-07
+50000E0, +4634E-07
+50100E0, +4725E-07
+50200E0, +4500E-07
+50300E0, +4697E-07
+50400E0, +4700E-07
+50500E0, +4531E-07
+50600E0, +4453E-07
+50700E0, +4578E-07
+50800E0, +4597E-07
+50900E0, +4478E-07
+51000E0, +4603E-07
+51100E0, +4681E-07
+51200E0, +4644E-07
+51300E0, +4456E-07
+51400E0, +4631E-07
+51500E0, +4609E-07
+51600E0, +4506E-07
+51700E0, +4606E-07
+51800E0, +4609E-07
+51900E0, +4684E-07
+52000E0, +4525E-07
+52100E0, +4625E-07
+52200E0, +4731E-07
+52300E0, +4447E-07
+52400E0, +4475E-07
+52500E0, +4603E-07
+52600E0, +4469E-07
+52700E0, +4503E-07
+52800E0, +4606E-07
+52900E0, +4703E-07
+53000E0, +4634E-07
+53100E0, +4556E-07
+53200E0, +4622E-07
+53300E0, +4659E-07
+53400E0, +4628E-07
+53500E0, +4578E-07
+53600E0, +4666E-07
+53700E0, +4578E-07
+53800E0, +4497E-07
+53900E0, +4697E-07
+54000E0, +4709E-07
+54100E0, +4553E-07
+54200E0, +4625E-07
+54300E0, +4550E-07
+54400E0, +4653E-07
+54500E0, +4481E-07
+54600E0, +4600E-07
+54700E0, +4647E-07
+54800E0, +4638E-07
+54900E0, +4531E-07
+55000E0, +4484E-07
+55100E0, +4684E-07
+55200E0, +4694E-07
+55300E0, +4450E-07
+55400E0, +4784E-07
+55500E0, +4778E-07
+55600E0, +4663E-07
+55700E0, +4463E-07
+55800E0, +4578E-07
+55900E0, +4634E-07
+56000E0, +4597E-07
+56100E0, +4669E-07
+56200E0, +4575E-07
+56300E0, +4625E-07
+56400E0, +4644E-07
+56500E0, +4606E-07
+56600E0, +4803E-07
+56700E0, +4694E-07
+56800E0, +4588E-07
+56900E0, +4631E-07
+57000E0, +4591E-07
+57100E0, +4509E-07
+57200E0, +4466E-07
+57300E0, +4716E-07
+57400E0, +4775E-07
+57500E0, +4700E-07
+57600E0, +4584E-07
+57700E0, +4622E-07
+57800E0, +4609E-07
+57900E0, +4541E-07
+58000E0, +4694E-07
+58100E0, +4581E-07
+58200E0, +4644E-07
+58300E0, +4550E-07
+58400E0, +4619E-07
+58500E0, +4778E-07
+58600E0, +4631E-07
+58700E0, +4534E-07
+58800E0, +4628E-07
+58900E0, +4622E-07
+59000E0, +4447E-07
+59100E0, +4684E-07
+59200E0, +4653E-07
+59300E0, +4541E-07
+59400E0, +4500E-07
+59500E0, +4584E-07
+59600E0, +4588E-07
+59700E0, +4513E-07
+59800E0, +4691E-07
+59900E0, +4663E-07
+60000E0, +4597E-07
+60100E0, +4556E-07
+60200E0, +4631E-07
+60300E0, +4706E-07
+60400E0, +4625E-07
+60500E0, +4494E-07
+60600E0, +4625E-07
+60700E0, +4806E-07
+60800E0, +4603E-07
+60900E0, +4703E-07
+61000E0, +4769E-07
+61100E0, +4616E-07
+61200E0, +4650E-07
+61300E0, +4572E-07
+61400E0, +4616E-07
+61500E0, +4653E-07
+61600E0, +4638E-07
+61700E0, +4641E-07
+61800E0, +4584E-07
+61900E0, +4731E-07
